k,P_10
5,0.3402147971360382
10,0.45542959427207635
15,0.49683770883054895
20,0.5252983293556086
25,0.5542959427207638
30,0.5686157517899761
35,0.5780429594272076
40,0.5824582338902148
45,0.5918854415274463
50,0.6019093078758949
55,0.6098448687350836
60,0.6142601431980907
65,0.6177804295942722
70,0.6207040572792364
75,0.6206443914081144
80,0.6235083532219571
85,0.6217780429594272
90,0.6255966587112172
95,0.6249403341288783
100,0.6266109785202865
105,0.62881861575179
110,0.6282219570405727
115,0.6291766109785203
120,0.626909307875895
125,0.628400954653938
130,0.6275059665871122
135,0.6301312649164678
140,0.6294152744630073
145,0.6304892601431982
150,0.6282816229116945
155,0.6291766109785203
160,0.628400954653938
165,0.6264319809069213
170,0.6280429594272076
175,0.6270286396181385
180,0.6287589498806683
185,0.6272076372315035
190,0.6273866348448688
195,0.6292959427207637
200,0.6255369928400953
205,0.6276849642004774
210,0.627326968973747
215,0.6266706443914082
220,0.6265513126491647
225,0.625
230,0.6267303102625299
235,0.6249403341288782
240,0.6257756563245823
245,0.6244033412887828
250,0.6250596658711217
255,0.6240453460620525
260,0.6241646778042961
265,0.6224940334128879
270,0.6245226730310263
275,0.6244033412887828
280,0.6250596658711218
285,0.6238066825775657
290,0.6236276849642005
295,0.6244630071599044
300,0.6228520286396182
305,0.6245823389021481
310,0.6242840095465394
315,0.6233890214797138
320,0.6241646778042959
325,0.6236276849642005
330,0.6229116945107399
335,0.6233890214797138
340,0.6244630071599044
345,0.6248210023866348
350,0.623747016706444
355,0.6239856801909309
360,0.623090692124105
365,0.6231503579952268
370,0.6247016706443914
375,0.6223150357995226
380,0.6243436754176611
385,0.623747016706444
390,0.6235083532219571
395,0.6247016706443914
400,0.6238663484486873
405,0.622016706443914
410,0.6234486873508354
415,0.6232696897374701
420,0.6235083532219571
425,0.6235680190930787
430,0.6213007159904534
435,0.6216587112171839
440,0.6231503579952267
445,0.6221957040572793
450,0.6224343675417662
455,0.6226730310262529
460,0.6218973747016706
465,0.6230310262529833
470,0.6202863961813841
475,0.6205847255369927
480,0.6206443914081146
485,0.6196300715990454
490,0.6211217183770883
495,0.6200477326968974
500,0.6199880668257758
505,0.6192124105011931
510,0.6181384248210023
515,0.619928400954654
520,0.6181384248210023
525,0.6177207637231503
530,0.6192124105011932
535,0.6181980906921241
540,0.6173031026252983
545,0.6189737470167065
550,0.618019093078759
555,0.6184367541766109
560,0.6161694510739857
565,0.6184367541766109
570,0.6170644391408114
575,0.617183770883055
580,0.616527446300716
585,0.6167661097852029
590,0.6179594272076371
595,0.6165871121718378
